doc_id,text,dominant_topic,dominant_prob,topic_distribution,topic_label
62,"['community', 'health', 'clinic', 'expand', 'service', 'underserved', 'neighborhood']",1,0.9145432,"{0: 0.04251778, 1: 0.9145432, 2: 0.042939015}",Public Affairs
63,"['new', 'research', 'shed', 'light', 'origin', 'ancient', 'civilization']",1,0.913654,"{0: 0.04266812, 1: 0.913654, 2: 0.043677878}",Public Affairs
64,"['environmental', 'group', 'campaign', 'deforestation', 'protect', 'area']",1,0.9000568,"{0: 0.05069875, 1: 0.9000568, 2: 0.04924446}",Public Affairs
65,"['football', 'league', 'introduce', 'new', 'rule', 'enhance', 'player', 'safety']",0,0.92318916,"{0: 0.92318916, 1: 0.038010154, 2: 0.038800664}",Local Events
66,"['startup', 'develop', 'platform', 'remote', 'team', 'collaboration']",0,0.9022573,"{0: 0.9022573, 1: 0.048117887, 2: 0.049624752}",Local Events
67,"['school', 'implement', 'measure', 'improve', 'student', 'well', 'mental', 'health']",0,0.9202114,"{0: 0.9202114, 1: 0.040056553, 2: 0.039732043}",Local Events
68,"['film', 'director', 'receive', 'award', 'several', 'international', 'festival']",2,0.9106942,"{0: 0.04708567, 1: 0.042220145, 2: 0.9106942}",Urban Development
69,"['scientist', 'launch', 'satellite', 'monitor', 'global', 'climate', 'pattern']",0,0.9123452,"{0: 0.9123452, 1: 0.043082647, 2: 0.04457222}",Local Events
70,"['city', 'council', 'debate', 'zone', 'change', 'accommodate', 'new', 'housing', 'development']",2,0.9323016,"{0: 0.03372262, 1: 0.033975814, 2: 0.9323016}",Urban Development
71,"['electric', 'bus', 'introduce', 'reduce', 'urban', 'air', 'pollution']",0,0.9146889,"{0: 0.9146889, 1: 0.04215019, 2: 0.043160904}",Local Events
72,"['researcher', 'analyze', 'data', 'recent', 'volcanic', 'activity', 'predict', 'eruption']",1,0.92062646,"{0: 0.038000096, 1: 0.92062646, 2: 0.041373424}",Public Affairs
73,"['charity', 'event', 'raise', 'fund', 'support', 'homeless', 'shelter', 'winter']",2,0.9242432,"{0: 0.037908852, 1: 0.037847925, 2: 0.9242432}",Urban Development
74,"['government', 'increase', 'investment', 'renewable', 'energy', 'infrastructure']",1,0.8919105,"{0: 0.051924035, 1: 0.8919105, 2: 0.05616545}",Public Affairs
75,"['tech', 'company', 'collaborate', 'standard', 'data', 'privacy', 'protection']",2,0.9094365,"{0: 0.042735763, 1: 0.047827743, 2: 0.9094365}",Urban Development
76,"['wildlife', 'reserve', 'report', 'surge', 'tourist', 'visit', 'season']",0,0.90641296,"{0: 0.90641296, 1: 0.048899706, 2: 0.044687375}",Local Events
77,"['community', 'garden', 'flourish', 'resident', 'embraced', 'urban', 'agriculture']",1,0.9136233,"{0: 0.044151336, 1: 0.9136233, 2: 0.042225394}",Public Affairs
78,"['new', 'study', 'explore', 'psychological', 'effect', 'social', 'medium', 'use']",1,0.91637594,"{0: 0.044082697, 1: 0.91637594, 2: 0.03954133}",Public Affairs
79,"['official', 'launch', 'initiative', 'promote', 'literacy', 'among', 'child']",0,0.9142557,"{0: 0.9142557, 1: 0.0425323, 2: 0.04321201}",Local Events
80,"['national', 'park', 'expand', 'trail', 'encourage', 'eco', 'tourism']",1,0.9102189,"{0: 0.045502603, 1: 0.9102189, 2: 0.04427851}",Public Affairs
81,"['local', 'authority', 'improve', 'emergency', 'preparedness', 'natural', 'disaster']",1,0.9027785,"{0: 0.04819981, 1: 0.9027785, 2: 0.04902169}",Public Affairs
82,"['sport', 'federation', 'hold', 'train', 'camp', 'ahead', 'championship']",0,0.91618127,"{0: 0.91618127, 1: 0.04189816, 2: 0.04192057}",Local Events
83,"['scientist', 'develop', 'biodegradable', 'material', 'reduce', 'plastic', 'pollution']",0,0.912758,"{0: 0.912758, 1: 0.042051543, 2: 0.04519047}",Local Events
84,"['government', 'pass', 'reform', 'improve', 'healthcare', 'access', 'nationwide']",0,0.9114414,"{0: 0.9114414, 1: 0.04345451, 2: 0.045104116}",Local Events
85,"['entrepreneur', 'launch', 'innovative', 'fintech', 'solution', 'rural', 'market']",1,0.9079978,"{0: 0.047991417, 1: 0.9079978, 2: 0.044010803}",Public Affairs
86,"['city', 'experience', 'heatwave', 'cause', 'health', 'warning', 'vulnerable', 'population']",2,0.9235646,"{0: 0.03778285, 1: 0.038652584, 2: 0.9235646}",Urban Development
87,"['artist', 'collaborate', 'mural', 'celebrate', 'cultural', 'diversity']",1,0.89805996,"{0: 0.05265482, 1: 0.89805996, 2: 0.049285237}",Public Affairs
88,"['renewable', 'energy', 'source', 'account', 'record', 'percentage', 'electricity', 'generation']",1,0.9243152,"{0: 0.038413562, 1: 0.9243152, 2: 0.037271228}",Public Affairs
89,"['authority', 'investigate', 'fraud', 'recent', 'public', 'procurement', 'contract']",2,0.9148653,"{0: 0.04219778, 1: 0.042936888, 2: 0.9148653}",Urban Development
